3873  3  0
   1      56   681   481
   2     681    56     1
   3      56   481    18
   4     681   180  1405
   5     100   481  1405
   6       5   100  1405
   7     978   100    40
   8    1405   481   681
   9     481   100    13
  10     979   101    13
  11      22   980   979
  12     979   980   101
  13     101    18    13
  14     978    31   979
  15      13    18   481
  16      39  1406    31
  17    1406   979    31
  18      31   978    10
  19     979    13   978
  20     100   978    13
  21    1406    22   979
  22       5  1405   180
  23     682     5    19
  24       7     5   180
  25      40   682    26
  26      40   100   682
  27       5     7    19
  28      40    10   978
  29      62    19    29
  30      23    19     7
  31      38    26    61
  32      26   682    62
  33      26    62    61
  34      62   682    19
  35      40    26   343
  36      10    33    41
  37      33    10   343
  38      39    31    41
  39     484    41    33
  40      33   482   484
  41      10    41    31
  42     343    38   483
  43      38   343    26
  44     482   115    73
  45     482    33   483
  46      63   482   483
  47     483    33   343
  48      10    40   343
  49     484   482    73
  50     483    38    53
  51     100     5   682
  52     484    46    41
  53      28    22    35
  54      22    28   980
  55      77   344    35
  56      35   344    28
  57      22  1407    35
  58    1407    39    45
  59    1407    22  1406
  60     250   981    59
  61      45   981  1407
  62      39    46    45
  63    1407   981    35
  64    1406    39  1407
  65      77    35   981
  66     246    77   684
  67      77   246   344
  68     184   346   684
  69     684   346   246
  70      77    58   684
  71      58   250   984
  72      58    77   981
  73     352   249   984
  74     984   249    58
  75     984   250  1410
  76      58   249   684
  77     981   250    58
  78     249   184   684
  79      59   981    45
  80    1408    59    45
  81     247  1408  1409
  82      59   247  1410
  83     247    59  1408
  84    1408    46   347
  85    1408    45    46
  86     347    73   138
  87     347    46   484
  88     247  1409   105
  89     138  1409   347
  90     138   104   103
  91     347  1409  1408
  92      39    41    46
  93     105  1409   138
  94    1410   186   106
  95    1410   247   186
  96    1428   106   107
  97     107   106   186
  98     186   139   107
  99    1410   106   984
 100     105   103   139
 101     103   105   138
 102     139   687   107
 103     688   687   139
 104     139   103   688
 105     105   139   186
 106     247   105   186
 107     984   106  1427
 108      49   138    73
 109      59  1410   250
 110      73   347   484
 111     687   686   107
 112      23    29    19
 113      62   683    61
 114     683    62    29
 115     683    29   132
 116      61   683   693
 117      87   132  1411
 118      74   132    29
 119     983   693    88
 120     693   683    87
 121     132    74  1411
 122      87   683   132
 123      29    23    74
 124      61   693   982
 125     181    53    86
 126      53    38   982
 127     182    63   181
 128     181    63    53
 129      53   982    86
 130      63   483    53
 131    1416    86   489
 132     983    86   982
 133    1415  1416    65
 134    1415   181  1416
 135      86   983   489
 136    1416   181    86
 137     982   693   983
 138     182   181  1415
 139     693    87    88
 140      63   115   482
 141      30  1411  1412
 142     488  1411    74
 143      88    30  1413
 144      88    87    30
 145    1411   488  1412
 146     983    88   149
 147      84  1412   201
 148      83  1412   488
 149     146  1413  1453
 150    1413    30    84
 151    1413    84   694
 152      84    30  1412
 153      88  1413   149
 154     490   489   695
 155     489   983   149
 156      65   490   150
 157      65  1416   490
 158     489   149   695
 159    1416   489   490
 160    1414   695    89
 161     146   695   149
 162     150  1424  1419
 163     150   490  1414
 164     150  1414   993
 165    1414   490   695
 166     149  1413   146
 167    1415    65  1418
 168     201  1412    83
 169      87  1411    30
 170    1419    65   150
 171     115   182   183
 172     182   115    63
 173      49   183   140
 174     183    49   115
 175     182  1417   183
 176     104   138    49
 177      52   140   183
 178      52  1417  1418
 179      49   140   104
 180     491   140    52
 181      52   696   491
 182      52   183  1417
 183    1415  1417   182
 184     689   140   491
 185     485   688   103
 186     485   104   689
 187     688    50   687
 188    1442    50   688
 189     688   485  1442
 190     103   104   485
 191     690  1442   485
 192     690   689   116
 193      50  1442  1441
 194    1444  1442   690
 195     690   349  1444
 196     690   485   689
 197     104   140   689
 198    1444  1441  1442
 199     116   689   491
 200      73   115    49
 201     696  1421   491
 202     696  1418  1419
 203      32   116  1421
 204     116   491  1421
 205     696  1420  1421
 206      52  1418   696
 207     205  1420   696
 208     205  1419  1424
 209      32  1421  1420
 210    1422  1420   205
 211     205   992  1422
 212     205   696  1419
 213    1415  1418  1417
 214    1423  1420  1422
 215     349    32  1447
 216      32   349   116
 217     986  1447   988
 218    1447   986   349
 219      32   987  1447
 220     349   986  1444
 221     493   987   153
 222     987   988  1447
 223     986   988  1443
 224     493   988   987
 225     153   987  1423
 226     987    32  1423
 227      32  1420  1423
 228     691  1444   986
 229     350   141   493
 230     116   349   690
 231      65  1419  1418
 232     493   141   988
 233      37   695   146
 234     982    38    61
 235      50   486   687
 236    1426   184  1425
 237     184  1426   346
 238    1425   184   133
 239    1426  1425   685
 240     352  1427  1430
 241     133   249   352
 242    1425   133   985
 243     352   251   133
 244     251  1430  1433
 245     133   184   249
 246     984  1427   352
 247    1430   251   352
 248     685  1431  1434
 249     685  1425  1431
 250     345  1431  1435
 251    1431   345  1434
 252    1431   985  1435
 253     985   251   187
 254    1431  1425   985
 255    1435   187  1437
 256    1432   187   251
 257    1432   251  1433
 258     985   187  1435
 259     133   251   985
 260    1432   503   187
 261    1430  1427   355
 262     136   355  1429
 263    1428   355  1427
 264    1433   136   354
 265     136  1433   355
 266     355  1428  1429
 267     355  1433  1430
 268     686   486   188
 269     686   687   486
 270     136  1429   137
 271     188  1429   686
 272     188   108   142
 273     686  1429  1428
 274     107   686  1428
 275     137  1429   188
 276     729   360   361
 277     360   354   136
 278    1432   354  1436
 279     360   728   354
 280     360   137   361
 281     360   136   137
 282     361   142  1439
 283     142   361   137
 284    1439   194   368
 285     194  1439   142
 286     194   142   505
 287     361  1439   729
 288     137   188   142
 289     729  1439  1440
 290     108   188   486
 291    1433   354  1432
