128  3  0
   1      54     1    55
   2      55    16    30
   3      45    30    10
   4      55    30    54
   5      54    30    15
   6      44    15    45
   7      44    26     6
   8      26    44    45
   9      42    26    45
  10      43     6    26
  11      15    30    45
  12      56    30    16
  13      47    10    56
  14      56    10    30
  15      57     7    31
  16      17    31    58
  17      57    31    56
  18      56    16    57
  19      47    56    31
  20      14    26    42
  21      14    42    27
  22      47    17    27
  23      17    47    31
  24       5    46    27
  25      47    27    42
  26      42    10    47
  27      14    27    46
  28      27    17    48
  29      42    45    10
  30      43    26    14
  31      18    53    29
  32      29    52    18
  33      11    52    29
  34      65    52    11
  35      29    53    43
  36      53     6    43
  37      18    52    64
  38       4    64    34
  39      34    65    66
  40      34    64    52
  41      66    65    20
  42      34    66     4
  43      52    65    34
  44      29    43    49
  45      49    11    29
  46      11    49    28
  47      28    46    50
  48      46    28    49
  49       5    50    46
  50      11    28    51
  51      43    14    49
  52      51    28    50
  53      20    35    68
  54      20    65    35
  55      67    68    35
  56      19    67    51
  57      68    67     9
  58      67    35    51
  59      35    11    51
  60      19    51    50
  61      35    65    11
  62      14    46    49
  63       7    58    31
  64      58    60    32
  65      60    58     7
  66      12    32    61
  67      21    32    60
  68      62    12    75
  69      58    32    59
  70      59    32    12
  71      48    59    33
  72      48    17    59
  73      33    62    23
  74      33    59    12
  75      23    62    39
  76      48    33    63
  77      12    62    33
  78      63    33    23
  79      61    32    21
  80      48     5    27
  81      61    73    38
  82      73    61    21
  83      38     2    74
  84       2    38    73
  85      61    38    75
  86      75    38    74
  87      39    62    75
  88      39    75    76
  89      22    76    75
  90      76     8    39
  91      75    74    22
  92      23    39    77
  93      75    12    61
  94      77    39     8
  95      50    36    19
  96      36     5    63
  97      70    69    36
  98      63    23    70
  99      71    69    13
 100      70    36    63
 101       5    48    63
 102      19    36    69
 103      67    19    37
 104      67    37     9
 105      37    71    72
 106      37    19    69
 107      72    71    25
 108      37    72     9
 109      69    71    37
 110      69    70    13
 111      50     5    36
 112      70    40    13
 113      40    70    77
 114      40    78    24
 115      78    40    77
 116      13    40    79
 117      77     8    78
 118      79    40    24
 119      25    41    81
 120      71    41    25
 121      81    41    80
 122      80     3    81
 123      80    79    24
 124      80    41    79
 125      13    79    41
 126      41    71    13
 127      23    77    70
 128      17    58    59
# Generated by ./triangle -pneQ output.poly
