time	L2Error	H1Error
0.000625	0.00155553	0.0604769
0.00125	0.00156199	0.0605116
0.001875	0.00156833	0.0605466
0.0025	0.00157457	0.0605817
0.003125	0.00158071	0.060617
0.00375	0.00158676	0.0606523
0.004375	0.00159273	0.0606878
0.005	0.00159861	0.0607235
0.005625	0.00160442	0.0607592
0.00625	0.00161015	0.060795
0.006875	0.00161581	0.0608309
0.0075	0.0016214	0.0608669
0.008125	0.00162692	0.0609029
0.00875	0.00163238	0.0609391
0.009375	0.00163778	0.0609753
0.01	0.00164312	0.0610116
0.010625	0.0016484	0.061048
0.01125	0.00165362	0.0610844
0.011875	0.00165879	0.0611209
0.0125	0.0016639	0.0611575
0.013125	0.00166896	0.0611941
0.01375	0.00167396	0.0612308
0.014375	0.00167892	0.0612676
0.015	0.00168383	0.0613044
0.015625	0.00168869	0.0613413
0.01625	0.0016935	0.0613783
0.016875	0.00169826	0.0614153
0.0175	0.00170298	0.0614523
0.018125	0.00170765	0.0614894
0.01875	0.00171228	0.0615266
0.019375	0.00171687	0.0615638
0.02	0.00172141	0.0616011
0.020625	0.00172592	0.0616384
0.02125	0.00173038	0.0616758
0.021875	0.0017348	0.0617132
0.0225	0.00173918	0.0617507
0.023125	0.00174352	0.0617882
0.02375	0.00174782	0.0618258
0.024375	0.00175209	0.0618634
0.025	0.00175632	0.061901
0.025625	0.00176051	0.0619387
0.02625	0.00176466	0.0619765
0.026875	0.00176878	0.0620143
0.0275	0.00177287	0.0620522
0.028125	0.00177692	0.06209
0.02875	0.00178093	0.062128
0.029375	0.00178491	0.062166
0.03	0.00178886	0.062204
0.030625	0.00179278	0.062242
0.03125	0.00179666	0.0622801
0.031875	0.00180051	0.0623183
0.0325	0.00180433	0.0623565
0.033125	0.00180812	0.0623947
0.03375	0.00181188	0.062433
0.034375	0.00181561	0.0624713
0.035	0.00181931	0.0625096
0.035625	0.00182297	0.062548
0.03625	0.00182661	0.0625865
0.036875	0.00183022	0.0626249
0.0375	0.00183381	0.0626634
0.038125	0.00183736	0.062702
0.03875	0.00184089	0.0627406
0.039375	0.00184439	0.0627792
0.04	0.00184786	0.0628178
0.040625	0.00185131	0.0628565
0.04125	0.00185473	0.0628953
0.041875	0.00185812	0.062934
0.0425	0.00186149	0.0629728
0.043125	0.00186483	0.0630117
0.04375	0.00186815	0.0630505
0.044375	0.00187144	0.0630894
0.045	0.00187471	0.0631284
0.045625	0.00187796	0.0631674
