time	L2Error	H1Error
0.003125	0.000657013	0.0488617
0.00625	0.000663076	0.0487095
0.009375	0.000668348	0.0485579
0.0125	0.000672992	0.0484067
0.015625	0.000677111	0.0482561
0.01875	0.000680776	0.0481059
0.021875	0.000684041	0.0479562
0.025	0.000686946	0.047807
0.028125	0.000689524	0.0476582
0.03125	0.000691805	0.0475099
0.034375	0.00069381	0.0473621
0.0375	0.000695561	0.0472147
0.040625	0.000697075	0.0470677
0.04375	0.000698368	0.0469213
0.046875	0.000699455	0.0467752
0.05	0.00070035	0.0466296
0.053125	0.000701063	0.0464845
0.05625	0.000701607	0.0463398
0.059375	0.000701992	0.0461955
0.0625	0.000702228	0.0460517
0.065625	0.000702323	0.0459083
0.06875	0.000702286	0.0457654
0.071875	0.000702125	0.0456229
0.075	0.000701848	0.0454808
0.078125	0.000701461	0.0453392
0.08125	0.000700972	0.0451979
0.084375	0.000700386	0.0450572
0.0875	0.00069971	0.0449168
0.090625	0.000698948	0.0447769
0.09375	0.000698107	0.0446374
0.096875	0.000697191	0.0444983
0.1	0.000696205	0.0443596
0.103125	0.000695153	0.0442214
0.10625	0.000694039	0.0440836
0.109375	0.000692867	0.0439462
0.1125	0.000691642	0.0438092
0.115625	0.000690366	0.0436727
0.11875	0.000689043	0.0435366
0.121875	0.000687675	0.0434009
0.125	0.000686267	0.0432656
0.128125	0.00068482	0.0431307
0.13125	0.000683337	0.0429962
0.134375	0.000681821	0.0428622
0.1375	0.000680273	0.0427285
0.140625	0.000678697	0.0425953
0.14375	0.000677093	0.0424625
0.146875	0.000675465	0.0423301
0.15	0.000673814	0.0421981
0.153125	0.000672141	0.0420665
0.15625	0.000670448	0.0419353
0.159375	0.000668737	0.0418046
0.1625	0.000667009	0.0416742
0.165625	0.000665265	0.0415442
0.16875	0.000663508	0.0414146
0.171875	0.000661737	0.0412855
0.175	0.000659954	0.0411567
0.178125	0.00065816	0.0410283
0.18125	0.000656357	0.0409004
0.184375	0.000654544	0.0407728
0.1875	0.000652723	0.0406456
0.190625	0.000650895	0.0405188
0.19375	0.000649061	0.0403925
0.196875	0.00064722	0.0402665
0.2	0.000645375	0.0401409
0.203125	0.000643525	0.0400156
0.20625	0.000641672	0.0398908
0.209375	0.000639815	0.0397664
0.2125	0.000637955	0.0396423
0.215625	0.000636094	0.0395187
