time	L2Error	H1Error
0.0125	0.00165617	0.0611605
0.025	0.00174619	0.0619042
0.0375	0.00182328	0.0626662
0.05	0.00189031	0.0634434
0.0625	0.00194936	0.0642339
0.075	0.0020021	0.0650367
0.0875	0.00204985	0.0658511
0.1	0.00209365	0.0666769
0.1125	0.00213436	0.0675137
0.125	0.00217268	0.0683616
0.1375	0.00220916	0.0692205
0.15	0.00224424	0.0700905
0.1625	0.00227828	0.0709715
0.175	0.00231156	0.0718638
0.1875	0.00234432	0.0727674
0.2	0.00237675	0.0736825
0.2125	0.00240898	0.0746091
0.225	0.00244114	0.0755474
0.2375	0.00247333	0.0764976
0.25	0.00250562	0.0774597
0.2625	0.00253808	0.0784339
0.275	0.00257075	0.0794205
0.2875	0.00260368	0.0804194
0.3	0.00263691	0.0814309
0.3125	0.00267045	0.0824552
0.325	0.00270434	0.0834923
0.3375	0.0027386	0.0845425
0.35	0.00277324	0.0856059
0.3625	0.00280827	0.0866827
0.375	0.00284372	0.087773
0.3875	0.00287958	0.088877
0.4	0.00291588	0.089995
0.4125	0.00295262	0.091127
0.425	0.0029898	0.0922732
0.4375	0.00302745	0.0934338
0.45	0.00306556	0.0946091
0.4625	0.00310414	0.0957991
0.475	0.00314321	0.0970041
0.4875	0.00318276	0.0982243
0.5	0.00322281	0.0994598
0.5125	0.00326336	0.100711
0.525	0.00330441	0.101978
0.5375	0.00334598	0.10326
0.55	0.00338807	0.104559
0.5625	0.0034307	0.105874
0.575	0.00347385	0.107206
0.5875	0.00351755	0.108555
0.6	0.0035618	0.10992
0.6125	0.0036066	0.111303
0.625	0.00365197	0.112703
0.6375	0.0036979	0.11412
0.65	0.00374442	0.115556
0.6625	0.00379152	0.117009
0.675	0.00383921	0.118481
0.6875	0.0038875	0.119971
0.7	0.0039364	0.12148
0.7125	0.00398592	0.123008
0.725	0.00403605	0.124556
0.7375	0.00408682	0.126122
0.75	0.00413823	0.127709
0.7625	0.00419028	0.129315
0.775	0.00424299	0.130942
0.7875	0.00429636	0.132589
0.8	0.0043504	0.134257
0.8125	0.00440512	0.135945
0.825	0.00446053	0.137655
0.8375	0.00451663	0.139387
0.85	0.00457345	0.14114
0.8625	0.00463097	0.142915
0.875	0.00468922	0.144713
0.8875	0.00474821	0.146533
0.9	0.00480793	0.148377
0.9125	0.00486841	0.150243
0.925	0.00492965	0.152133
0.9375	0.00499165	0.154046
0.95	0.00505444	0.155984
0.9625	0.00511802	0.157946
0.975	0.00518239	0.159933
0.9875	0.00524758	0.161944
1	0.00531359	0.163981
