4650  3  0
   1      47    95    94
   2      42   202    47
   3      47   202    95
   4      95     1    94
   5      17    47   117
   6     117    94    10
   7     277    17    59
   8     277    47    17
   9    1353    59    17
  10     277    59    46
  11      17   117    58
  12     117    47    94
  13      42    47   277
  14      91    92    93
  15      92    91    42
  16      93    15    45
  17      15    93    92
  18      92    14    15
  19     277    27    42
  20      27   277    46
  21      14    27   152
  22      14    92    27
  23     152    27    46
  24      26    15    14
  25     152    46    50
  26      27    92    42
  27      91   202    42
  28     152   151    14
  29      46    59     5
  30      58  1353    17
  31      58    10   118
  32      48     5    59
  33     129    48  1353
  34    1353    58   129
  35    1353    48    59
  36      31   129    58
  37     119    31   135
  38     129   119   120
  39     119   129    31
  40      12    33   120
  41     129   120    48
  42      31   118   280
  43      31    58   118
  44      48   120    33
  45       5    63    50
  46      63     5    33
  47      96    50   382
  48      96   152    50
  49     382    50    63
  50     737    96   382
  51      63    97   382
  52      50    46     5
  53     205    97    63
  54      12   205    33
  55      19    97    69
  56      19   382    97
  57      36    69    97
  58      19    69   207
  59      36    97   205
  60      63    33   205
  61       5    48    33
  62      96   151   152
  63      32   120   119
  64     117    10    58
  65      19   737   382
  66      45    30   278
  67      45    15    30
  68     116   278    30
  69     116    30    18
  70      26   151    49
  71      30    15    26
  72     210    49    28
  73      49   210    26
  74      67  1355    28
  75      18    30   210
  76      67    28    49
  77      26   210    30
  78      14   151    26
  79     211   210    28
  80       6    18    43
  81      18     6   116
  82     761   154    43
  83      43   154     6
  84     211   390    43
  85     390   761    43
  86      43    18   211
  87      28   122   211
  88     211    18   210
  89     762   122    99
  90     762   390   122
  91      99   122  1355
  92     763   762    99
  93    1355   157    99
  94     122   390   211
  95    1355   122    28
  96     762   287   390
  97      49   151    51
  98      51   279   126
  99     279    51   737
 100     126   157  1355
 101     126    67    51
 102     126   279   125
 103      51    67    49
 104      19   383   737
 105      51    96   737
 106    1356   383   384
 107    1356   279   383
 108     384   383   207
 109    1356   384  1357
 110     207   217   384
 111     383   279   737
 112     151    96    51
 113     125   279  1356
 114     157   125   746
 115     125   157   126
 116     216   746   161
 117     746   216   157
 118     161   746   228
 119     763    99   216
 120     125    98   746
 121     216    99   157
 122      98  1357   215
 123      98   125  1356
 124     228   215   775
 125     215   228    98
 126     106   775   215
 127     161   228   776
 128     384   421  1357
 129      98   228   746
 130    1356  1357    98
 131     775   776   228
 132    1357    37   215
 133    1355    67   126
 134     207   383    19
 135     161   127   216
 136     207    69   217
 137       7   119   135
 138     135   280    56
 139      32     7   130
 140      32   119     7
 141     135   136     7
 142      32    12   120
 143      56   736   136
 144       7    21   130
 145       7   136    21
 146      57    21   136
 147     165   130   296
 148     296   130    21
 149     136   135    56
 150      32   130   131
 151      12   131    70
 152     131    12    32
 153     281    36    70
 154      36   205    70
 155      70   131    23
 156      69    36   282
 157     165    75    23
 158    1820    75   165
 159     281    23   204
 160      23   281    70
 161     204    23    75
 162     206   281   204
 163      75    62   204
 164     165    23   131
 165     131   130   165
 166     282    36   281
 167     203   136   736
 168      31   280   135
 169     203   747    57
 170     235  1354    57
 171    1354    21    57
 172      57   747   546
 173    1354   296    21
 174     550   546   558
 175     548   546   747
 176     235   550   139
 177     550   235   546
 178     139   547   534
 179    1354   235   545
 180     546   548   558
 181     546   235    57
 182     545   235   139
 183    1011    75  1820
 184    1820   296   545
 185     234    83    62
 186      83   204    62
 187      62    75  1011
 188     234    62  1011
 189    1820   534  1011
 190     165   296  1820
 191      61  1011   534
 192     534   545   139
 193     234    61   297
 194     234  1011    61
 195     547    61   534
 196      83   234  1821
 197      61   477   297
 198     534  1820   545
 199     296  1354   545
 200     239   234   297
 201     300   239   297
 202     136   203    57
 203      83   206   204
 204     209   217    13
 205     217    69   282
 206     100   421   209
 207     209   421   217
 208     217   282    13
 209     421   384   217
 210     206   208    13
 211     206    83   208
 212     208   163    13
 213      82   163   145
 214     209   163   164
 215      13   163   209
 216     163   208   145
 217     206    13   282
 218     282   281   206
 219      82   164   163
 220      37   100   146
 221     100    37   421
 222     106   146   420
 223     146   106    37
 224     283   420   146
 225     420   219   106
 226     146   100   164
 227      37   106   215
 228     164   284   283
 229     284   164    82
 230     283   740  1358
 231     740   283   284
 232    1358   740   741
 233     283  1358   420
 234     740   284   738
 235     164   283   146
 236     100   209   164
 237    1358   742   420
 238     284    82   104
 239      37  1357   421
 240     170   145   385
 241    1821   145   208
 242     104   170   532
 243     104    82   170
 244     145  1821    40
 245     738   284   104
 246     385    40   238
 247     239    40  1821
 248     170   103   532
 249     170   385   103
 250     531   103   385
 251     532   103   108
 252     239   238    40
 253     385   145    40
 254      83  1821   208
 255     104   532  1010
 256     285   738   739
 257    1010   738   104
 258     743   741   285
 259     741   740   285
 260     739   745   285
 261    1358   741   286
 262     739   738  1010
 263     740   738   285
 264     750   253   172
 265     253   739  1010
 266     739   750   386
 267     750   739   253
 268     254   386   535
 269     739   386   745
 270     535   386   750
 271     253  1010   108
 272    1010   532   108
 273     745   386   254
 274     108   103   171
 275      82   145   170
 276     234   239  1821
 277     106   779   775
 278     172   253   108
 279      12    70   205
 280     745   743   285
 281     760   761   766
 282     761   760   154
 283     287   124   761
 284     761   124   766
 285     390   287   761
 286     763   127   394
 287     763   216   127
 288     763   394   391
 289     395   394   127
 290     395   127   764
 291     768   287   391
 292     161   764   127
 293     391   287   762
 294     391   762   763
 295      11   391   394
 296     403   124   767
 297     124   403   766
 298     393   767   769
 299     769   767   124
 300     124   768   769
 301     403   767  1822
 302     391    11   768
 303     394   395   392
 304     392    11   394
 305     392   395   765
 306      65   392   765
 307      11  1386   769
 308     395   764   765
 309      11   769   768
 310     124   287   768
 311     392  1386    11
 312     764   412   765
 313     775   396   776
 314     775   779   396
 315     776   396   799
 316     399   396   779
 317     779   422   399
 318     778   396   399
 319     219   742   782
 320     219   420   742
 321     422   782   162
 322     782   422   219
 323    1365   162  1362
 324     399   422   788
 325     162   782  1362
 326     219   422   779
 327     776   764   161
 328     788   422   162
 329     799   778   792
 330     799   396   778
 331     799   792   412
 332     777   792   778
 333     160   777   778
 334     765   412   397
 335     399   160   778
 336     412   764   799
 337     162  1364   788
 338    1364   162  1365
 339     790  1403  1364
 340    1364  1403   788
 341     784  1364  1365
 342     790  1364   784
 343     784  1366  1374
 344     788  1403   160
 345     788   160   399
 346     792   793   412
 347     784  1365  1366
 348     799   764   776
 349     779   106   219
 350    1403  1387   160
 351     393   822   767
 352     769  1386   393
 353     825   767   822
 354     767   825  1822
 355     393  1386   771
 356     792   222   793
 357     793   397   412
 358     772    65   397
 359     392    65   774
 360     793   224   397
 361     222  1390   793
 362     222   798  1389
 363     765   397    65
 364     792   777   222
 365     774  1386   392
 366     771  1393   393
 367     771  1386   774
 368     402   822  1494
 369     822   393  1393
 370     820  1393   771
 371    1494   822  1393
 372     820   771   774
 373     822   402   825
 374    1388  1390  1389
 375     224   793  1390
 376     410   772   224
 377      65    35   774
 378    1390   413   224
 379     772    35    65
 380     795  1389  1410
 381     772   397   224
 382     222  1389  1390
 383     795  1388  1389
 384     798   222   777
 385    1387  1402   802
 386    1387  1403  1402
 387     798   802  1410
 388     802   798  1387
 389     802  1402  1407
 390    1387   798   777
 391     784  1404   790
 392    1404   784  1374
 393     803   398  1404
 394    1404   398   790
 395     791  1404  1374
 396    1407  1402   398
 397    1406   803   791
 398     790   398  1402
 399     777   160  1387
 400     791   803  1404
 401     802   800  1410
 402     800   802  1407
 403    1412  1409   800
 404     800  1409  1410
 405     801   800  1407
 406     801  1412   800
 407    1407  1408   801
 408    1410  1409   795
 409    1408   803  1415
 410    1408  1407   398
 411    1414  1415   804
 412    1415  1414  1408
 413    1418   804  1415
 414    1413   801  1414
 415    1415   803  1406
 416    1408  1414   801
 417     398   803  1408
 418     804  1416  1414
 419     791  1374  1405
 420     798  1410  1389
 421     790  1402  1403
 422    1417   795  1409
 423     744   782   742
 424     780   744   425
 425     744  1362   782
 426    1362   780   783
 427     780  1362   744
 428     744   286  1359
 429     744   742   286
 430    1359   743   757
 431    1359   286   741
 432     425   757  1368
 433     757   425  1359
 434    1360  1368   757
 435     780   425  1361
 436     757   743   435
 437    1359   425   744
 438     742  1358   286
 439    1361   425  1368
 440     783  1367  1366
 441    1367   783  1363
 442    1367   427  1366
 443     427  1367  1370
 444     785   427  1370
 445     427  1405  1374
 446    1367   429  1370
 447    1366  1365   783
 448    1363  1361   288
 449    1363   783   780
 450     786   429   866
 451     288   429  1363
 452     288   866   429
 453     429   786  1370
 454     288  1361   781
 455    1363   429  1367
 456     780  1361  1363
 457     786  1419  1370
 458     781  1361  1368
 459    1374  1366   427
 460     435   752  1360
 461     752   435   254
 462     423   781  1368
 463     755   423  1360
 464    1360   752   755
 465     423  1368  1360
 466    1375   755   752
 467     254   331   752
 468     755   754   753
 469     754   755  1375
 470     867   753   424
 471     755   753   423
 472     754  1375   290
 473     331  1375   752
 474     743   745   435
 475     423   753   218
 476     789   866   288
 477    1369   789   871
 478     866  1369  1373
 479    1369   866   789
 480     158  1373  1369
 481     866  1373   786
 482     789   781   218
 483     789   288   781
 484     218   867   871
 485     867   218   753
 486     871   870  1371
 487     870   871   867
 488     869  1371  1377
 489     871  1371  1369
 490     870   867   868
 491     218   871   789
 492     781   423   218
 493     158  1369  1371
 494    1377  1371   870
 495    1360   757   435
 496     745   254   435
 497    1422   786  1373
 498    1405   785  1427
 499     785  1405   427
 500    1426  1427  1420
 501    1420  1427   785
 502     785  1419  1420
 503    1405  1427  1406
 504    1419  1422  1421
 505    1419   786  1422
 506     787  1421   430
 507     787  1420  1421
 508     430  1421  1422
 509    1424   787   890
 510    1422  1372   430
 511    1421  1420  1419
 512     785  1370  1419
 513    1426  1420   787
 514    1406   426  1418
 515    1406  1427   426
 516     426  1430  1418
 517    1430   426  1428
 518    1429  1430  1428
 519     804  1418  1433
 520     426  1426  1428
 521    1418  1415  1406
 522     787  1425  1426
 523    1425   787  1424
 524     812  1425    88
 525     812  1428  1425
 526      88  1425  1424
 527    1435   812    88
 528      88  1424  1436
 529    1425  1428  1426
 530    1427  1426   426
 531    1433  1418  1430
 532     890   787   430
 533    1406   791  1405
 534    1441  1372   886
 535    1372  1422  1373
 536    1423   890  1441
 537     890   430  1441
